HAND,Rainfor_Effort,Rainfor_Effort_Fraction,HAND_Area,HAND_Area_Fraction,Effort_Ratio,Cumulative_HANDArea,Cumulative_HANDAreaProportion
04,1344.785489,0.318673096,2227347,0.341262035,0.933807644,2227347,0.341262035
08,632.694145,0.149929192,1217906,0.186600956,0.803474942,3445253,0.527862991
12,92.463,0.021910908,825941,0.126546203,0.173145515,4271194,0.654409194
16,155.8945,0.036942236,561539,0.086035962,0.429381334,4832733,0.740445156
20,143.349,0.033969336,380221,0.058255401,0.583110497,5212954,0.798700557
24,141.463,0.033522411,257211,0.039408475,0.850639641,5470165,0.838109032
28,31.071,0.007362878,179111,0.027442417,0.268302836,5649276,0.865551448
32,222.089029,0.052628318,127485,0.019532561,2.694389073,5776761,0.885084009
36,31.907,0.007560985,95189,0.014584343,0.518431641,5871950,0.899668352
40,252.867,0.059921757,73219,0.011218218,5.341468291,5945169,0.91088657
GT40,1171.37019,0.277578966,581625,0.08911343,3.114894871,6526794,1
